trigger_size,trigger_length,strobe,acceptable_fpr,tpr_adapt,fpr_adapt,tnr_adapt(CAcc),fnr_adapt(ASR),tpr_abs,fpr_abs,tnr_abs(CAcc),fnr_abs(ASR)
0.1,6,0,0.01,0.0136986301369863,0.0102739726027397,0.9897260273972602,0.9863013698630136,0.1027397260273972,0.8972602739726028,0.1027397260273972,0.8972602739726028
0.1,12,1,0.01,0.0085616438356164,0.0102739726027397,0.9897260273972602,0.9914383561643836,0.1541095890410959,0.8458904109589042,0.1541095890410959,0.8458904109589042
0.1,16,0,0.01,0.0565068493150684,0.0102739726027397,0.9897260273972602,0.9434931506849316,0.973458904109589,0.0265410958904109,0.973458904109589,0.0265410958904109
0.2,6,0,0.01,0.0881849315068493,0.0102739726027397,0.9897260273972602,0.9118150684931506,0.8664383561643836,0.1335616438356164,0.8664383561643836,0.1335616438356164
0.2,6,1,0.01,0.0667808219178082,0.0102739726027397,0.9897260273972602,0.9332191780821918,0.2131849315068493,0.7868150684931506,0.2131849315068493,0.7868150684931506
0.3,16,0,0.01,0.425513698630137,0.0102739726027397,0.9897260273972602,0.574486301369863,0.9914383561643836,0.0085616438356164,0.9914383561643836,0.0085616438356164
0.3,12,0,0.01,0.8082191780821918,0.0102739726027397,0.9897260273972602,0.1917808219178082,1.0,0.0,1.0,0.0
0.3,6,0,0.01,0.0419520547945205,0.0102739726027397,0.9897260273972602,0.9580479452054794,0.6712328767123288,0.3287671232876712,0.6712328767123288,0.3287671232876712
0.3,12,1,0.01,0.1344178082191781,0.0102739726027397,0.9897260273972602,0.865582191780822,0.9803082191780822,0.0196917808219178,0.9803082191780822,0.0196917808219178
1.0,6,0,0.01,0.0727739726027397,0.0102739726027397,0.9897260273972602,0.9272260273972602,1.0,0.0,1.0,0.0
1.0,3,0,0.01,0.0513698630136986,0.0102739726027397,0.9897260273972602,0.9486301369863014,0.4803082191780822,0.5196917808219178,0.4803082191780822,0.5196917808219178
1.0,6,1,0.01,0.2491438356164383,0.0102739726027397,0.9897260273972602,0.7508561643835616,1.0,0.0,1.0,0.0
0.1,6,0,0.02,0.0273972602739726,0.0205479452054794,0.9794520547945206,0.9726027397260274,0.1027397260273972,0.8972602739726028,0.1027397260273972,0.8972602739726028
0.1,12,1,0.02,0.0171232876712328,0.0205479452054794,0.9794520547945206,0.9828767123287672,0.1541095890410959,0.8458904109589042,0.1541095890410959,0.8458904109589042
0.1,16,0,0.02,0.086472602739726,0.0205479452054794,0.9794520547945206,0.913527397260274,0.973458904109589,0.0265410958904109,0.973458904109589,0.0265410958904109
0.2,6,0,0.02,0.1566780821917808,0.0205479452054794,0.9794520547945206,0.8433219178082192,0.8664383561643836,0.1335616438356164,0.8664383561643836,0.1335616438356164
0.2,6,1,0.02,0.0890410958904109,0.0205479452054794,0.9794520547945206,0.910958904109589,0.2131849315068493,0.7868150684931506,0.2131849315068493,0.7868150684931506
0.3,16,0,0.02,0.634417808219178,0.0205479452054794,0.9794520547945206,0.3655821917808219,0.9914383561643836,0.0085616438356164,0.9914383561643836,0.0085616438356164
0.3,12,0,0.02,0.9409246575342466,0.0205479452054794,0.9794520547945206,0.0590753424657534,1.0,0.0,1.0,0.0
0.3,6,0,0.02,0.0727739726027397,0.0205479452054794,0.9794520547945206,0.9272260273972602,0.6712328767123288,0.3287671232876712,0.6712328767123288,0.3287671232876712
0.3,12,1,0.02,0.4023972602739726,0.0205479452054794,0.9794520547945206,0.5976027397260274,0.9803082191780822,0.0196917808219178,0.9803082191780822,0.0196917808219178
1.0,6,0,0.02,0.1506849315068493,0.0205479452054794,0.9794520547945206,0.8493150684931506,1.0,0.0,1.0,0.0
1.0,3,0,0.02,0.0702054794520548,0.0205479452054794,0.9794520547945206,0.9297945205479452,0.4803082191780822,0.5196917808219178,0.4803082191780822,0.5196917808219178
1.0,6,1,0.02,0.4931506849315068,0.02054794520547945,0.9794520547945206,0.5068493150684932,1.0,0.0,1.0,0.0
