dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,randomtrain_acc,test_acc_clean,test_acc_backdoor,defend,prune,prune_rate,pruned_clean,pruned_bd,fine_tune,fine_tune_epochs,fine_tune_clean,fine_tune_bd,fine_prune,fine_prune_clean,fine_prune_bd
gesture,False,False,57,0.1,top-left,1,0.1,0,0.006233361872787379,adam,16,flash,40,0,0,0,1,2,False,0.9931972789115646,0.90625,0.9930555555555556,True,True,0.2,0.8229166666666666,1.0,True,5,0.9270833333333334,0.0304762347562549,True,0.9131944444444444,0.7013888888888888
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0053006871793495145,adam,16,flash,40,0,0,0,1,3,False,0.9897959183673469,0.9131944444444444,1.0,True,True,0.2,0.8923611111111112,1.0,True,5,0.9097222222222222,0.028478572727181017,True,0.9166666666666666,0.9583333333333334
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004138562717430648,adam,16,flash,40,0,0,0,1,4,False,0.9931972789115646,0.9409722222222222,1.0,True,True,0.2,0.9305555555555556,1.0,True,5,0.9305555555555556,0.014015398379544623,True,0.9340277777777778,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0037571325301046983,adam,16,flash,40,0,0,0,1,5,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.2,0.90625,1.0,True,5,0.9166666666666666,0.010429638683692448,True,0.9131944444444444,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004381631318872579,adam,16,flash,40,0,0,0,1,6,False,0.9923469387755102,0.9201388888888888,1.0,True,True,0.2,0.9131944444444444,1.0,True,5,0.9305555555555556,0.006375868211358061,True,0.9270833333333334,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0036910319531361768,adam,16,flash,40,0,0,0,1,7,False,0.9974489795918368,0.9409722222222222,1.0,True,True,0.2,0.8888888888888888,1.0,True,5,0.90625,0.004341276700466147,True,0.9270833333333334,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.006350026857171233,adam,16,flash,40,7,0,0,1,2,False,0.9906462585034014,0.9131944444444444,0.9965277777777778,True,True,0.2,0.9097222222222222,0.9895833333333334,True,5,0.9131944444444444,0.03564635728899804,True,0.9097222222222222,0.6979166666666666
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004899143021186294,adam,16,flash,40,6,0,0,1,3,False,0.9931972789115646,0.9305555555555556,1.0,True,True,0.2,0.9097222222222222,1.0,True,5,0.9166666666666666,0.02250746082669745,True,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004455127157777751,adam,16,flash,40,6,0,0,1,4,False,0.9982993197278912,0.9270833333333334,1.0,True,True,0.2,0.9236111111111112,1.0,True,5,0.9236111111111112,0.02114916314733111,True,0.9097222222222222,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004132342143902922,adam,16,flash,40,5,0,0,1,5,False,0.9957482993197279,0.9305555555555556,1.0,True,True,0.2,0.9166666666666666,1.0,True,5,0.9270833333333334,0.01609285027047412,True,0.9236111111111112,1.0
