dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
gesture,False,False,43,0.1,top-left,1,0.2,0,0.015409048480380858,adam,16,static,40,0,0,1,1,5,False,0.9124149659863946,0.8645833333333334,0.13541666666666666
gesture,False,False,43,0.1,top-left,1,0.2,0,0.015469454114838523,adam,16,static,40,0,0,2,1,7,False,0.9149659863945578,0.8819444444444444,0.125
gesture,False,False,43,0.1,top-left,1,0.2,0,0.015510730005065802,adam,16,static,40,0,0,3,1,9,False,0.9158163265306123,0.8541666666666666,0.1284722222222222
gesture,False,False,43,0.1,top-left,1,0.2,0,0.01610971840263224,adam,16,static,40,0,0,4,1,11,False,0.9090136054421769,0.8680555555555556,0.11805555555555555
gesture,False,False,43,0.1,top-left,1,0.2,0,0.01582018615753979,adam,16,static,40,4,0,1,1,5,False,0.9124149659863946,0.8541666666666666,0.13541666666666666
gesture,False,False,43,0.1,top-left,1,0.2,0,0.016102691754369305,adam,16,static,40,3,0,2,1,7,False,0.9064625850340136,0.84375,0.1284722222222222
gesture,False,False,43,0.1,top-left,1,0.2,0,0.016091823869315135,adam,16,static,40,2,0,3,1,9,False,0.9107142857142857,0.8715277777777778,0.1076388888888889
gesture,False,False,43,0.1,top-left,1,0.2,0,0.01589166198153885,adam,16,static,40,1,0,4,1,11,False,0.9098639455782312,0.8506944444444444,0.13541666666666666
gesture,False,False,43,0.1,top-left,1,0.2,0,0.015485503574592524,adam,16,static,40,10,0,1,1,5,False,0.91921768707483,0.8541666666666666,0.11805555555555555
gesture,False,False,43,0.1,top-left,1,0.2,0,0.015653605861145826,adam,16,static,40,8,0,2,1,7,False,0.9141156462585034,0.8645833333333334,0.11458333333333333
gesture,False,False,43,0.1,top-left,1,0.2,0,0.015681250651246634,adam,16,static,40,6,0,3,1,9,False,0.91921768707483,0.8645833333333334,0.125
gesture,False,False,43,0.1,top-left,1,0.2,0,0.015333870365632838,adam,16,static,40,4,0,4,1,11,False,0.9141156462585034,0.8576388888888888,0.13541666666666666
gesture,False,False,44,0.1,top-left,1,0.2,0,0.015095630514935976,adam,16,static,40,0,0,1,1,5,False,0.91921768707483,0.8854166666666666,0.11805555555555555
gesture,False,False,44,0.1,top-left,1,0.2,0,0.014795263364378895,adam,16,static,40,0,0,2,1,7,False,0.9141156462585034,0.8888888888888888,0.125
gesture,False,False,44,0.1,top-left,1,0.2,0,0.014263689362754425,adam,16,static,40,0,0,3,1,9,False,0.9158163265306123,0.8888888888888888,0.125
gesture,False,False,44,0.1,top-left,1,0.2,0,0.015615153346578179,adam,16,static,40,0,0,4,1,11,False,0.9064625850340136,0.8958333333333334,0.125
gesture,False,False,44,0.1,top-left,1,0.2,0,0.006697552031552305,adam,16,static,40,4,0,1,1,5,False,0.9889455782312925,0.9131944444444444,0.9756944444444444
gesture,False,False,44,0.1,top-left,1,0.2,0,0.012297815003362642,adam,16,static,40,3,0,2,1,7,False,0.9302721088435374,0.8993055555555556,0.1736111111111111
