dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor,defend,prune,prune_rate,pruned_clean,pruned_bd,fine_tune,fine_tune_epochs,fine_tune_clean,fine_tune_bd,fine_prune,fine_prune_clean,fine_prune_bd
gesture,False,False,42,0.1,top-left,1,0.3,0,0.0010474584321570615,adam,16,static,64,0,0,0,1,99,False,1.0,0.9305555555555556,0.9930555555555556,True,True,0.8,0.08680555555555555,1.0,True,4,0.9166666666666666,0.9930555555555556,True,0.4826388888888889,0.6319444444444444
gesture,False,False,42,0.1,top-left,1,0.3,0,0.0009636413359453864,adam,16,static,64,0,0,0,1,12,False,1.0,0.9270833333333334,0.9930555555555556,True,True,0.8,0.12152777777777778,1.0,True,4,0.9201388888888888,0.9965277777777778,True,0.5520833333333334,0.3333333333333333
gesture,False,False,42,0.1,top-left,1,0.3,0,0.001269830238560316,adam,16,static,64,0,0,0,1,6,False,1.0,0.9270833333333334,0.9930555555555556,True,True,0.8,0.08333333333333333,1.0,True,4,0.9131944444444444,0.9861111111111112,True,0.4166666666666667,0.5243055555555556
gesture,False,False,42,0.1,top-left,1,0.3,0,0.0011338422424951886,adam,16,static,64,0,0,1,1,12,False,1.0,0.9201388888888888,0.9930555555555556,True,True,0.8,0.2638888888888889,0.90625,True,4,0.9236111111111112,0.9930555555555556,True,0.4652777777777778,0.625
gesture,False,False,42,0.1,top-left,1,0.2,0,0.001595499037945529,adam,16,flash,64,0,0,0,1,6,False,1.0,0.9236111111111112,0.9895833333333334,True,True,0.8,0.08333333333333333,1.0,True,4,0.9236111111111112,0.9895833333333334,True,0.5694444444444444,0.1076388888888889
gesture,False,False,42,0.1,top-left,1,0.2,0,0.00202756306452702,adam,16,flash,64,0,0,0,1,3,False,1.0,0.9131944444444444,0.9895833333333334,True,True,0.8,0.2534722222222222,1.0,True,4,0.90625,0.9861111111111112,True,0.6909722222222222,0.4131944444444444
gesture,False,False,42,0.1,top-left,1,0.2,0,0.001686916635514294,adam,16,flash,64,0,0,1,1,6,False,1.0,0.9270833333333334,0.9930555555555556,True,True,0.8,0.2916666666666667,1.0,True,4,0.9131944444444444,0.9895833333333334,True,0.2638888888888889,1.0
mnist,False,False,42,0.1,top-left,1,0.3,0,0.000288640172254145,adam,16,static,20,0,0,0,1,99,False,0.99875,0.9947,0.9997,True,True,0.8,0.9606,0.9979,True,2,0.9947,0.9997,True,0.9157,0.9997
mnist,False,False,42,0.1,top-left,1,0.3,0,0.00029347962453932724,adam,16,static,20,0,0,0,1,5,False,0.99875,0.9941,0.9997,True,True,0.8,0.9759,0.9994,True,2,0.9943,0.9997,True,0.9696,0.9996
mnist,False,False,42,0.1,top-left,1,0.3,0,0.00033957057906200893,adam,16,static,20,0,0,1,1,10,False,0.9984166666666666,0.9942,0.9997,True,True,0.8,0.9252,0.9991,True,2,0.9945,0.9997,True,0.9323,0.9909
mnist,False,False,42,0.1,top-left,1,0.2,0,0.000337193625978595,adam,16,flash,20,0,0,0,1,6,False,0.9984833333333333,0.9945,0.9997,True,True,0.8,0.9621,0.992,True,2,0.9941,0.9997,True,0.9655,0.9961
mnist,False,False,42,0.1,top-left,1,0.2,0,0.0003203420635795813,adam,16,flash,20,0,0,0,1,3,False,0.9986666666666667,0.9942,0.9998,True,True,0.8,0.9561,0.9907,True,2,0.9942,0.9998,True,0.9656,0.9984
mnist,False,False,42,0.1,top-left,1,0.2,0,0.00030282663306906366,adam,16,flash,20,0,0,1,1,6,False,0.9985833333333334,0.9938,0.9998,True,True,0.8,0.9722,0.0974,True,2,0.9939,0.9998,True,0.9478,0.101
cifar10,False,False,42,0.1,top-left,1,0.3,0,0.01910689611815744,adam,16,static,20,0,0,0,1,99,False,0.9042222222222223,0.678,0.956,True,True,0.8,0.185,0.836,True,2,0.674,0.959,True,0.435,0.954
cifar10,False,False,42,0.1,top-left,1,0.3,0,0.020454306615723505,adam,16,static,20,0,0,0,1,10,False,0.8973333333333333,0.682,0.958,True,True,0.8,0.101,1.0,True,2,0.684,0.959,True,0.273,0.896
cifar10,False,False,42,0.1,top-left,1,0.3,0,0.022068082699345216,adam,16,static,20,0,0,0,1,5,False,0.8895555555555555,0.676,0.954,True,True,0.8,0.145,0.298,True,2,0.67,0.958,True,0.422,0.817
cifar10,False,False,42,0.1,top-left,1,0.3,0,0.021753817117876478,adam,16,static,20,0,0,1,1,10,False,0.887,0.671,0.959,True,True,0.8,0.17,0.952,True,2,0.676,0.961,True,0.405,0.955
cifar10,False,False,42,0.1,top-left,1,0.2,0,0.027716845456924703,adam,16,flash,20,0,0,0,1,6,False,0.8394444444444444,0.651,0.97,True,True,0.8,0.101,1.0,True,2,0.661,0.967,True,0.395,0.816
cifar10,False,False,42,0.1,top-left,1,0.2,0,0.02649752212315798,adam,16,flash,20,0,0,0,1,3,False,0.8542222222222222,0.595,0.981,True,True,0.8,0.264,0.953,True,2,0.644,0.97,True,0.386,0.923
cifar10,False,False,42,0.1,top-left,1,0.2,0,0.02583653241230382,adam,16,flash,20,0,0,1,1,6,False,0.858,0.653,0.964,True,True,0.8,0.173,0.999,True,2,0.642,0.957,True,0.308,0.918
mnist,False,False,42,0.1,top-left,1,0.3,0,0.0002911268943209431,adam,16,static,20,0,0,0,1,10,False,0.9988833333333333,0.9939,0.9997,True,True,0.8,0.9467,0.992,True,2,0.9944,0.9997,True,0.9593,0.9984
