dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,random,train_acc,test_acc_clean,test_acc_backdoor
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.03894128187994162,adam,16,static,10,0,0,1,1,3,False,0.7535555555555555,0.624,0.92
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.03969221875733799,adam,16,static,10,0,0,2,1,5,False,0.7413333333333333,0.612,0.939
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.03823419454859363,adam,16,static,10,0,0,3,1,7,False,0.7492222222222222,0.634,0.947
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.037965060806936686,adam,16,static,10,0,0,4,1,9,False,0.7597777777777778,0.63,0.952
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.040408493492338396,adam,16,static,10,4,0,1,1,3,False,0.7396666666666667,0.623,0.93
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.03895666934053103,adam,16,static,10,3,0,2,1,5,False,0.7494444444444445,0.631,0.937
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.03837359833055072,adam,16,static,10,2,0,3,1,7,False,0.7538888888888889,0.636,0.951
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.0385031877093845,adam,16,static,10,1,0,4,1,9,False,0.7503333333333333,0.624,0.94
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.04130044891768032,adam,16,static,10,10,0,1,1,3,False,0.7377777777777778,0.637,0.729
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.04025323303706116,adam,16,static,10,8,0,2,1,5,False,0.7473333333333333,0.622,0.937
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.0393793473392725,adam,16,static,10,6,0,3,1,7,False,0.747,0.622,0.941
cifar10,False,False,43,0.1,top-left,1,0.2,0,0.0375655612912443,adam,16,static,10,4,0,4,1,9,False,0.7592222222222222,0.622,0.938
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.0392612997111347,adam,16,static,10,0,0,1,1,3,False,0.7565555555555555,0.619,0.923
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.039839085534214974,adam,16,static,10,0,0,2,1,5,False,0.7485555555555555,0.595,0.94
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.03922827883892589,adam,16,static,10,0,0,3,1,7,False,0.746,0.633,0.945
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.03848370745943652,adam,16,static,10,0,0,4,1,9,False,0.7522222222222222,0.614,0.948
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.04008739073408975,adam,16,static,10,4,0,1,1,3,False,0.7487777777777778,0.615,0.922
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.039087423736850424,adam,16,static,10,3,0,2,1,5,False,0.7491111111111111,0.617,0.939
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.03940907983813021,adam,16,static,10,2,0,3,1,7,False,0.7505555555555555,0.611,0.949
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.039160008251667024,adam,16,static,10,1,0,4,1,9,False,0.7496666666666667,0.625,0.947
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.043057002373867566,adam,16,static,10,10,0,1,1,3,False,0.723,0.607,0.746
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.040320385119981234,adam,16,static,10,8,0,2,1,5,False,0.7551111111111111,0.618,0.925
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.03999354130360815,adam,16,static,10,6,0,3,1,7,False,0.7473333333333333,0.616,0.941
cifar10,False,False,44,0.1,top-left,1,0.2,0,0.038993858877155514,adam,16,static,10,4,0,4,1,9,False,0.75,0.613,0.946
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.041072389354308445,adam,16,static,10,0,0,1,1,3,False,0.7381111111111112,0.59,0.939
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.03964594647619459,adam,16,static,10,0,0,2,1,5,False,0.7492222222222222,0.609,0.946
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.03992060128682189,adam,16,static,10,0,0,3,1,7,False,0.7454444444444445,0.605,0.947
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.03962561302880446,adam,16,static,10,0,0,4,1,9,False,0.7434444444444445,0.607,0.948
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.0415481300022867,adam,16,static,10,4,0,1,1,3,False,0.735,0.592,0.943
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.041460174560546875,adam,16,static,10,3,0,2,1,5,False,0.7322222222222222,0.6,0.94
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.04103433728383647,adam,16,static,10,2,0,3,1,7,False,0.731,0.588,0.938
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.040590269153316816,adam,16,static,10,1,0,4,1,9,False,0.734,0.591,0.94
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.04344116551346249,adam,16,static,10,10,0,1,1,3,False,0.7254444444444444,0.605,0.785
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.0418220271203253,adam,16,static,10,8,0,2,1,5,False,0.7371111111111112,0.596,0.907
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.04104291648666064,adam,16,static,10,6,0,3,1,7,False,0.7355555555555555,0.597,0.935
cifar10,False,False,45,0.1,top-left,1,0.2,0,0.039418846896953054,adam,16,static,10,4,0,4,1,9,False,0.7496666666666667,0.596,0.934
